Links,Genres,Reviews
/movie/citizen-kane-1941/user-reviews,"['drama', 'mystery']",its generally a good movie and pretty watchable but in no way is it the greatest movie of alltime in truth probably not even in the top 1000
/movie/the-godfather/user-reviews,"['drama', 'thriller', 'crime']",like babe ruth is to baseball like john steinbeck is to writing their is no doubt about it the godfather is the greatest film of all time never before have we seen performances so stellar by marlon brando al pacino james caan robertlike babe ruth is to baseball like john steinbeck is to writing their is no doubt about it the godfather is the greatest film of all time never before have we seen performances so stellar by marlon brando al pacino james caan robert duvall and everyone else the godfather has little life lessons everywhere along with an engaging plot that just completes the most critically acclaimed film of all time the godfather is francis ford coppolas masterpiece expand
/movie/rear-window/user-reviews,"['mystery', 'thriller']",jeff jefferies is a photographer who likes to spy on the lives of his neighbors through the rear windows until it begins to suspect that one of them killed his wife directed by alfred hitchcock is written by john michael hayes with thejeff jefferies is a photographer who likes to spy on the lives of his neighbors through the rear windows until it begins to suspect that one of them killed his wife directed by alfred hitchcock is written by john michael hayes with the participation of james stewart and grace kellythis is one of the most famous films of hitchcock and has been several remakes target like many of the films of this director it could almost be staged as a play given that almost all the action takes place in the same place the apartment of the protagonist the script is excellent although moments of too much predictability the performance of the main actors is impeccable and striking and i consider this one of the best films of kellys career the photograph also deserves a very positive note the rest soundtrack costumes scenery etc is reasonable without surprise or particular attentioni always heard people talk of this movie when it came in hitchcocks name but to see the film i was of the opinion that this director did some more interesting and remarkable films either way its a good movie it is worth to be seen and appreciated and that will please a lot to most suspense fans or thrillers expand
/movie/casablanca/user-reviews,"['drama', 'romance', 'war']",embarrassingly i first saw this film on a 5 x 5 inch screen on the back of a bus seat coming back from a ski trip but it was still one of my alltime favorite movies after that first viewing  the writing is incredible the actingembarrassingly i first saw this film on a 5 x 5 inch screen on the back of a bus seat coming back from a ski trip but it was still one of my alltime favorite movies after that first viewing  the writing is incredible the acting brilliant and just the feel  the elegance of it all  was amazing and i didnt even take into account exactly when the movie was released at that point  remarkable expand
/movie/boyhood/user-reviews,['drama'],a boy enjoying pictures of women in swimwear with his friends a boy being devastated after having his mane cut off a boy debating the necessity of facebook with his high school girlfriend in all honesty boyhood is a rather apt title fora boy enjoying pictures of women in swimwear with his friends a boy being devastated after having his mane cut off a boy debating the necessity of facebook with his high school girlfriend in all honesty boyhood is a rather apt title for this film but it could just as well hold the name of another picture currently running in cinemas life itself that simple yet profound thing is what lies at the core of richard linklaters unique 12yearspanning story and makes it relatable for everyone regardless of sex age group descent social status or character linklater lets his audience live through the fun and the pain the love and the misery and the excitement and the disappointment of his protagonist mason with yet another wonderful screenplay in his repertoire and an unspectacular but still extraordinary way of directing leaving the cinema its hard to grasp one has just spent the better part of an evening in front of a screen but at the same time theres also a feeling of having relived your own adolescence along with mason expand
/movie/three-colors-red/user-reviews,"['drama', 'mystery', 'romance']",enjoyed and satisfied by this trilogyhonestly my favourite was bluebut for me red is the best among the three existing movie i prefer to feel the emotional attachment that is caused by a lovable character the relationship valentinekernenjoyed and satisfied by this trilogyhonestly my favourite was bluebut for me red is the best among the three existing movie i prefer to feel the emotional attachment that is caused by a lovable character the relationship valentinekern also very well established nuance that is built through the theme of brotherhood in this movie also made me much more like red than his two predecessors if blue feels depressed and white feels a bit loose and too light then red is really touching and glamorous of course ending in this film as well magnificent no need to be a crazy twist to so surprising no need for a scene so touching melodrama yes the moment in which the blue white and red met made me surprised amazed touched moreover expand
/movie/vertigo-1958/user-reviews,"['mystery', 'thriller', 'romance']",hands down one of the alltime greats every time i see this film it offers me something new just so far ahead of its time
/movie/notorious-1946/user-reviews,"['drama', 'thriller', 'romance', 'film-noir']",not even by far its the best film directed by hitchcock beyond his flawless cinemathography
/movie/singin-in-the-rain/user-reviews,"['comedy', 'romance', 'musical']",so far the best musical film ever i cant get any words to describe how beautiful this movie is only thing i regret now is that i didnt watch this movie sooner
/movie/city-lights/user-reviews,"['drama', 'comedy', 'romance']",started with modern times and found the comic genius of charlie chaplin ive seen his movies before but they were mostly a blur now that i have revisited them i found a newfound appreciation for this era somewhat from the kid to the goldstarted with modern times and found the comic genius of charlie chaplin ive seen his movies before but they were mostly a blur now that i have revisited them i found a newfound appreciation for this era somewhat from the kid to the gold rush all his movies have laughs and heart something i never thought id find in comedies city lights takes the cake for me sharing a slice of it with modern timesthe tramp in some scenes might come off as a boozedrinking cigarchomping klutz but this is only because of his selflessness that leads him into these circumstances putting him in one comedic situation to another what i love about this movie is the relationship he develops with a blind flower girl which blossoms pun intended into something pure and innocent this contrasts his relationship with the millionaire who takes him galavanting often leading into trouble dont let the lack of color and spoken dialogue fool you this movie packs a lot of heartfelt moments further cementing charlie chaplins place in cinema history must watch expand
