Links,Genres,Reviews
https://www.rottentomatoes.com/m/black_panther_2018/reviews?type=user,"['fantasy', 'action', 'adventure']",it was absolutely appaling i have never been more bored or ashamed of marvel in my entire life dreadful movie would never watch again or recommend
https://www.rottentomatoes.com/m/avengers_endgame/reviews?type=user,"['fantasy', 'adventure', 'scifi', 'action']",exciting and fun at the sametime you must watch it
https://www.rottentomatoes.com/m/us_2019/reviews?type=user,"['horror', 'mysteryandthriller']",i dont know why the movie critics and the tomato meter were so generous with rating this movie i dont particularly rate movie critics views that highly anyway but this was crap thats all i need to say
https://www.rottentomatoes.com/m/toy_story_4/reviews?type=user,"['fantasy', 'kidsandfamily', 'animation', 'adventure', 'comedy']",a heartwarming and funny toy story movie but its not as good as the three films because the characters feel more brave and smarter in the three previous films
https://www.rottentomatoes.com/m/lady_bird/reviews?type=user,"['drama', 'comedy']",meh was ok ronan is always good to watch and doesnt disappoint but if youre not an impoverished quite bright but nongenius glee girl struggling with your identity in a feepaying catholic school in sacramento that your parents cant afford youll probably struggle to relate passed the time wont be rushing to watch it again
https://www.rottentomatoes.com/m/citizen_kane/reviews?type=user,['drama'],my sound was messed up halfway through but pretty incredible this movie was made in the 40s
https://www.rottentomatoes.com/m/mission_impossible_fallout/reviews?type=user,"['adventure', 'mysteryandthriller', 'action']",ive never like the mission impossible series as much as bond or borne but i do sort of like this type of movie i think the previous one was extremely good this one seemed kind of bland by comparison a lot of the action scenes seemed like repeats of things that have been done many times before and the ending scenes especially seemed a bit forced to create extra drama some of the characters that seemed quirky or engaging in the previous movie were a bit more bland in this one in this story the team is supposed to get some rogue plutonium when it is stolen from under their noses they spend the rest of the movie trying to get it back the plot is a bit confusing and implausible at times to the point that you dont end up getting very invested in everything that is going on towards the end there is an odd addition of a storyline about a love interest from ethans past that seems a bit tacked on overall this edition of mission impossible is not as engaging as some of the others have been it is enough to be entertaining for a couple hours of viewing but it probably will not be considered a classic
https://www.rottentomatoes.com/m/the_wizard_of_oz_1939/reviews?type=user,"['musical', 'kidsandfamily', 'fantasy']",still fun even 81 years later
https://www.rottentomatoes.com/m/blackkklansman/reviews?type=user,"['drama', 'comedy', 'crime']",is an incredible insight into the civil rights movement in the usa and cop struggling to play both sides
https://www.rottentomatoes.com/m/get_out/reviews?type=user,"['horror', 'mysteryandthriller', 'comedy']",i was freaked out i cheered i laughed i wss on the edge of my seat what a ride
https://www.rottentomatoes.com/m/the_irishman/reviews?type=user,"['drama', 'crime']",the best movie of 2019 and one of the best mobster movie ever definitely in my top 3 martin scorsese films
https://www.rottentomatoes.com/m/mad_max_fury_road/reviews?type=user,"['adventure', 'action']",one of the best action movies of all time
https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse/reviews?type=user,"['fantasy', 'comedy', 'kidsandfamily', 'animation', 'adventure', 'action']",if this isnt the definition of a top notch spiderman comedy i dont know what is
https://www.rottentomatoes.com/m/1003707-casablanca/reviews?type=user,['drama'],this classic never gets old  a definite must see for any movie buff
https://www.rottentomatoes.com/m/moonlight_2016/reviews?type=user,['drama'],stunning and incredibly personal and somewhat relatable story the movie is very subtle in its messaging and meaning in the sense that it wont ever spell out what its trying to say to you but if you are in the mood to listen then it has something really important to share
https://www.rottentomatoes.com/m/a_star_is_born_2018/reviews?type=user,"['drama', 'music', 'romance']",a neargreat movie  cant quite put my finger why it wasnt quite up to a 5star par but the chemistry of the 2 leads isnt quite there  best scene the debut of the oscarwinning song shallows
https://www.rottentomatoes.com/m/wonder_woman_2017/reviews?type=user,"['adventure', 'action', 'fantasy']",one of the most stupid and bored superhero moves
https://www.rottentomatoes.com/m/dunkirk_2017/reviews?type=user,"['drama', 'war', 'history']",chris nolan does it again he make a normal ww2 movie so twisty with the different timelines it brings such tension and excitement the historical speech everyone knows at the end was moving as well
https://www.rottentomatoes.com/m/inside_out_2015/reviews?type=user,"['comedy', 'fantasy', 'kidsandfamily', 'animation']",inside out is an amazing movie about all the emotions of a girl named riley it is pretty sad at times but it also is very uplifting and happy a good movie for all ages
https://www.rottentomatoes.com/m/the_farewell_2019/reviews?type=user,"['drama', 'comedy']",a tender loving story that is filled with life although the subject matter is enough to make you sad it is handled with care by director lulu wang it is sad but just the right amount of humorous it is an understated movie in many ways but incredibly powerful highlighting the limited time that we have on this planet and the ways that we should spend it definite mustwatch
https://www.rottentomatoes.com/m/a_quiet_place_2018/reviews?type=user,"['horror', 'mysteryandthriller']",movie was dope excited for part 2
